type,name,description,all_ingredients,main_ingredients,img_link,cost,weight,cuisine
Основные блюда,Ризотто с морепродуктами,"Кремовое ризотто с кальмарами, креветками и мидиями, приправленное белым вином и свежими травами.","Рис арборио, морепродукты (кальмары, креветки, мидии), белое вино, рыбный бульон, лук-шалот, чеснок, сливочное масло, оливковое масло, петрушка, пармезан","Рис арборио, морепродукты, белое вино, пармезан",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A0%D0%B8%D0%B7%D0%BE%D1%82%D1%82%D0%BE%20%D1%81%20%D0%BC%D0%BE%D1%80%D0%B5%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%B0%D0%BC%D0%B8.jpg,650,350 г,Итальянская кухня
Основные блюда,Тальятелле с трюфельным соусом,"Домашняя паста тальятелле, щедро политая изысканным трюфельным соусом, с добавлением свежих грибов и пармезана.","Тальятелле, трюфельный соус, свежие грибы, пармезан, оливковое масло, чеснок, петрушка","Тальятелле, трюфельный соус, свежие грибы, пармезан",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A2%D0%B0%D0%BB%D1%8C%D1%8F%D1%82%D0%B5%D0%BB%D0%BB%D0%B5%20%D1%81%20%D1%82%D1%80%D1%8E%D1%84%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%20%D1%81%D0%BE%D1%83%D1%81%D0%BE%D0%BC.jpg,405,290 г,Итальянская кухня
Основные блюда,Пицца Маргарита,"Классическая итальянская пицца с томатным соусом, сыром моцарелла и свежими листьями базилика.","Тесто для пиццы, томатный соус, сыр моцарелла, свежие листья базилика, оливковое масло","Томатный соус, сыр моцарелла, базилик",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9F%D0%B8%D1%86%D1%86%D0%B0%20%D0%9C%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D1%82%D0%B0.jpg,450,500 г,Итальянская кухня
Супы,Минестроне,"Богатый овощной суп с фасолью, макаронами и свежими травами, символизирующий итальянский подход к здоровому питанию.","Картофель, морковь, сельдерей, кабачки, фасоль, макароны, томатный соус, оливковое масло, чеснок, базилик, соль, перец","Овощи, фасоль, макароны, томатный соус",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9C%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%BE%D0%BD%D0%B5.jpg,280,250 г,Итальянская кухня
Супы,Страчателла,"Легкий куриный суп с яичными нитями и тертым пармезаном, идеальное средство для восстановления сил после болезни или тяжелой недели.","Куриный бульон, яйца, пармезан, мускатный орех, соль, перец","Куриный бульон, яйца, пармезан",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A1%D1%82%D1%80%D0%B0%D1%87%D0%B0%D1%82%D0%B5%D0%BB%D0%BB%D0%B0.jpg,290,300 г,Итальянская кухня
Супы,Зуппа ди Пеше,"Рыбный суп с морепродуктами, помидорами и белыми винами, олицетворяющий дух Средиземноморья.","Различные сорта рыбы, моллюски, креветки, помидоры, белое вино, оливковое масло, чеснок, петрушка, соль, перец","Рыба, морепродукты, помидоры, белое вино",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%97%D1%83%D0%BF%D0%BF%D0%B0%20%D0%B4%D0%B8%20%D0%9F%D0%B5%D1%88%D0%B5.jpg,370,250 г,Итальянская кухня
Салаты,Капрезе,"Классический итальянский салат из свежих помидоров, моцареллы, базилика и оливкового масла, символизирующий цвета итальянского флага.","Помидоры, моцарелла, базилик, оливковое масло, бальзамический уксус, соль, перец","Помидоры, моцарелла, базилик",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9A%D0%B0%D0%BF%D1%80%D0%B5%D0%B7%D0%B5.jpg,320,230 г,Итальянская кухня
Салаты,Панцанелла,"Летний салат из хлеба, помидоров, огурцов, красного лука и базилика, заправленный оливковым маслом и уксусом.","Хлеб, помидоры, огурцы, красный лук, базилик, оливковое масло, уксус, соль, перец","Хлеб, помидоры, огурцы, базилик",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9F%D0%B0%D0%BD%D1%86%D0%B0%D0%BD%D0%B5%D0%BB%D0%BB%D0%B0.jpg,280,260 г,Итальянская кухня
Салаты,Салат Цезарь,"Популярный салат с хрустящими листьями ромэна, курицей, сухариками и специальным соусом Цезарь.","Ромэн, куриная грудка, сухарики, пармезан, соус Цезарь (яйцо, анчоусы, горчица, лимонный сок, оливковое масло, чеснок, вустерский соус), соль, перец","Ромэн, куриная грудка, сухарики, пармезан",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A1%D0%B0%D0%BB%D0%B0%D1%82%20%D0%A6%D0%B5%D0%B7%D0%B0%D1%80%D1%8C.jpg,410,300 г,Итальянская кухня
Салаты,Инсулата ди Полпо,"Салат из осьминогов, заправленный оливковым маслом, лимоном и свежими травами, с легким и свежим вкусом.","Осьминог, оливковое масло, лимонный сок, петрушка, орегано, соль, перец","Осьминог, оливковое масло, лимонный сок",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%98%D0%BD%D1%81%D1%83%D0%BB%D0%B0%D1%82%D0%B0%20%D0%B4%D0%B8%20%D0%9F%D0%BE%D0%BB%D0%BF%D0%BE.jpg,460,280 г,Итальянская кухня
Напитки,Лимонад,"Освежающий напиток из свежего лимона, сахара и воды, идеальный для жаркого дня.","Лимон, сахар, вода","Лимон, сахар, вода",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9B%D0%B8%D0%BC%D0%BE%D0%BD%D0%B0%D0%B4.jpg,170,300 мл,Итальянская кухня
Напитки,Гранатовый напиток,"Фруктовый напиток из гранатового сока, воды и небольшого количества сахара, с освежающим и терпким вкусом.","Гранатовый сок, вода, сахар","Гранатовый сок, вода, сахар",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%93%D1%80%D0%B0%D0%BD%D0%B0%D1%82%D0%BE%D0%B2%D1%8B%D0%B9%20%D0%BD%D0%B0%D0%BF%D0%B8%D1%82%D0%BE%D0%BA.jpg,185,300 мл,Итальянская кухня
Напитки,Санбиттер,"Газированный напиток с горьковато-сладким вкусом, популярный в Италии, особенно в летнее время.","Вода, сахар, экстракты трав, углекислый газ","Вода, сахар, экстракты трав",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A1%D0%B0%D0%BD%D0%B1%D0%B8%D1%82%D1%82%D0%B5%D1%80.jpg,165,330 мл,Итальянская кухня
Напитки,Орзат,"Безалкогольная альтернатива просекко, изготовленная из винограда и обладающая легким игристым вкусом.","Виноградный сок, сахар, углекислый газ","Виноградный сок, сахар, углекислый газ",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9E%D1%80%D0%B7%D0%B0%D1%82.jpg,225,275 мл,Итальянская кухня
Закуски,Брускетта,"Традиционная итальянская закуска, состоящая из поджаренного хлеба с различными топингами, такими как помидоры, базилик и оливковое масло.","Хлеб, помидоры, базилик, оливковое масло, чеснок, соль, перец","Хлеб, помидоры, базилик, оливковое масло",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%91%D1%80%D1%83%D1%81%D0%BA%D0%B5%D1%82%D1%82%D0%B0.jpg,120,150 г,Итальянская кухня
Закуски,Капоната,"Сицилийская закуска из тушеных баклажанов, томатов, оливок и каперсов, приправленная уксусом и сахаром.","Баклажаны, помидоры, оливки, каперсы, уксус, сахар, оливковое масло, соль, перец","Баклажаны, помидоры, оливки, каперсы",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9A%D0%B0%D0%BF%D0%BE%D0%BD%D0%B0%D1%82%D0%B0.jpg,155,170 г,Итальянская кухня
Закуски,Антипасто,"Ассорти из различных итальянских деликатесов, таких как прошутто, сыры, оливки и маринованные овощи.","Прошутто, сыры (моцарелла, пармезан), оливки, маринованные овощи (артишоки, перцы), оливковое масло","Прошутто, сыры, оливки, маринованные овощи",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%90%D0%BD%D1%82%D0%B8%D0%BF%D0%B0%D1%81%D1%82%D0%BE.jpg,210,190 г,Итальянская кухня
Закуски,Арранчини,"Жареные рисовые шарики с начинкой из моцареллы и соуса, часто подаваемые как закуска или уличная еда.","Рис, моцарелла, томатный соус, панировочные сухари, яйца, оливковое масло, соль, перец","Рис, моцарелла, томатный соус",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%90%D1%80%D1%80%D0%B0%D0%BD%D1%87%D0%B8%D0%BD%D0%B8.jpg,185,220 г,Итальянская кухня
Закуски,Карпаччо,"Тонко нарезанная сыровяленая говядина, сервированная с рукколой, пармезаном и лимонным соком.","Сыровяленая говядина, руккола, пармезан, лимонный сок, оливковое масло, соль, перец","Сыровяленая говядина, руккола, пармезан",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9A%D0%B0%D1%80%D0%BF%D0%B0%D1%87%D1%87%D0%BE.jpg,275,225 г,Итальянская кухня
Закуски,Полента,"Каша из кукурузной муки, часто подаваемая с различными соусами или начинками, такими как грибы или сыр.","Кукурузная мука, вода, соль, масло, грибы, сыр","Кукурузная мука, грибы, сыр",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9F%D0%BE%D0%BB%D0%B5%D0%BD%D1%82%D0%B0.jpg,165,200 г,Итальянская кухня
Десерты,Тирамису,"Воздушный десерт, состоящий из кофейных савоярди, пропитанных кофе эспрессо, слоя кремообразного маскарпоне и легкого взбитого крема, покрытого какао-порошком.","Савоярди, крепкий кофе эспрессо, маскарпоне, яйца, сахар, какао-порошок","Савоярди, маскарпоне, кофе эспрессо, какао-порошок",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A2%D0%B8%D1%80%D0%B0%D0%BC%D0%B8%D1%81%D1%83.jpg,220,165 г,Итальянская кухня
Десерты,Канноли,"Традиционные сицилийские вафельные трубочки, заполненные нежнейшим кремом из рикотты, иногда с добавлением шоколада или цукатов.","Вафельные трубочки, рикотта, сахар, ваниль, шоколад, цукаты, сахарная пудра","Вафельные трубочки, рикотта, сахар, ваниль",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9A%D0%B0%D0%BD%D0%BD%D0%BE%D0%BB%D0%B8.jpg,180,135 г,Итальянская кухня
Десерты,Панна Котта,"Нежнейший кремообразный десерт, приготовленный из сливок, сахара и желатина, часто подается с фруктовыми соусами или карамелью.","Сливки, сахар, желатин, ваниль, фруктовый соус или карамель","Сливки, сахар, желатин, ваниль",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9F%D0%B0%D0%BD%D0%BD%D0%B0%20%D0%9A%D0%BE%D1%82%D1%82%D0%B0.jpg,210,195 г,Итальянская кухня
Основные блюда,Тако,"Мягкие кукурузные лепешки, наполненные рубленым мясом, овощами и соусами, с разнообразными начинками на выбор.","Кукурузные лепешки, говядина или курица, помидоры, авокадо, лук, кинза, сыр, лайм, соус сальса","Кукурузные лепешки, мясо, овощи, соус сальса",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A2%D0%B0%D0%BA%D0%BE.jpg,230,180 г,Мексиканская кухня
Основные блюда,Энчиладас,"Запеченные кукурузные лепешки, свернутые с начинкой из мяса, сыра и овощей, под соусом из зеленого или красного чили.","Кукурузные лепешки, курица или говядина, сыр, лук, зеленый или красный чили, сметана, кинза","Кукурузные лепешки, мясо, сыр, соус чили",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%AD%D0%BD%D1%87%D0%B8%D0%BB%D0%B0%D0%B4%D0%B0%D1%81.jpg,210,180 г,Мексиканская кухня
Основные блюда,Фахитас,"Обжаренные полоски мяса (курицы или говядины) с овощами, подающимися с теплыми тортильями и разнообразными соусами.","Курица или говядина, болгарский перец, лук, кукуруза, тортильи, лайм, соус гуакамоле, сметана","Мясо, овощи, тортильи, соус гуакамоле",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A4%D0%B0%D1%85%D0%B8%D1%82%D0%B0%D1%81.jpg,350,210 г,Мексиканская кухня
Супы,Позоле,"Традиционный мексиканский суп из кукурузы, свинины и специй, с насыщенным и ароматным вкусом.","Свинина, белая кукуруза, лук, чеснок, перец чили, орегано, лавровый лист, бульон, лайм","Свинина, кукуруза, перец чили, бульон",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9F%D0%BE%D0%B7%D0%BE%D0%BB%D0%B5.jpg,300,250 г,Мексиканская кухня
Супы,Менудо,"Густой суп из говяжьего желудка, подаваемый с лаймом, луком и свежей кинзой, традиционно едят на завтрак.","Говяжий желудок, бульон, чеснок, лавровый лист, орегано, лук, кинза, лайм","Говяжий желудок, бульон, лук, кинза",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9C%D0%B5%D0%BD%D1%83%D0%B4%D0%BE.jpg,320,250 г,Мексиканская кухня
Закуски,Начос,"Кукурузные чипсы, покрытые расплавленным сыром, с добавлением фасоли, говядины, гуакамоле и сметаны.","Кукурузные чипсы, сыр, фасоль, говядина, гуакамоле, сметана, лук, кинза","Кукурузные чипсы, сыр, гуакамоле, сметана",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9D%D0%B0%D1%87%D0%BE%D1%81.jpg,240,210 г,Мексиканская кухня
Закуски,Элоте,"Запеченная кукуруза в початках, покрытая майонезом, сыром котиха и порошком чили, с добавлением лайма.","Кукуруза в початках, майонез, сыр котиха, порошок чили, лайм","Кукуруза, майонез, сыр котиха, порошок чили",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%AD%D0%BB%D0%BE%D1%82%D0%B5.jpg,220,180 г,Мексиканская кухня
Закуски,Кесадилья,"Запеченная тортилья, наполненная сыром и разнообразными начинками, такими как курица, говядина или овощи.","Тортилья, сыр, курица или говядина, овощи, сметана, соус сальса","Тортилья, сыр, мясо или овощи",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9A%D0%B5%D1%81%D0%B0%D0%B4%D0%B8%D0%BB%D1%8C%D1%8F.jpg,200,190 г,Мексиканская кухня
Закуски,Тамале,"Паровые кукурузные лепешки, начиненные мясом, сыром или овощами, обернутые в кукурузные листья и сваренные.","Кукурузная масса, мясо или овощи, сыр, кукурузные листья","Кукурузная масса, мясо или овощи, сыр",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A2%D0%B0%D0%BC%D0%B0%D0%BB%D0%B5.jpg,180,160 г,Мексиканская кухня
Напитки,Агава,"Сладкий нектар из агавы, используемый в качестве подсластителя или основы для напитков, например, в коктейлях.","Нектар агавы, вода","Нектар агавы, вода",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%90%D0%B3%D0%B0%D0%B2%D0%B0.jpg,170,200 мл,Мексиканская кухня
Напитки,Хорчата,"Традиционный мексиканский напиток из риса, миндаля и корицы, имеющий кремовую текстуру и сладкий вкус.","Рис, миндаль, корица, сахар, вода, ваниль","Рис, миндаль, корица, сахар",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A5%D0%BE%D1%80%D1%87%D0%B0%D1%82%D0%B0.jpg,260,250 мл,Мексиканская кухня
Напитки,Техате,"Смесь шоколада и кукурузной массы, подается холодной, с пенкой наверху, напоминает горячий шоколад, но в холодном варианте.","Шоколад, кукурузная масса, вода, сахар, корица","Шоколад, кукурузная масса, корица",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A2%D0%B5%D1%85%D0%B0%D1%82%D0%B5.jpg,330,300 мл,Мексиканская кухня
Салаты,Мексиканский взрыв,"Легкий и освежающий салат с авокадо, манго, красным луком и кинзой, заправленный лаймовым соком.","Авокадо, манго, красный лук, кинза, лаймовый сок, оливковое масло, соль, перец","Авокадо, манго, красный лук, кинза",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A1%D0%B0%D0%BB%D0%B0%D1%82%20%D0%B8%D0%B7%20%D0%B0%D0%B2%D0%BE%D0%BA%D0%B0%D0%B4%D0%BE%20%D0%B8%20%D0%BC%D0%B0%D0%BD%D0%B3%D0%BE.jpg,240,250 г,Мексиканская кухня
Салаты,Фруктовый микс,"Сытный и яркий салат с чёрной фасолью, кукурузой, помидорами, авокадо и кинзой, заправленный лаймовым соком и оливковым маслом.","Чёрная фасоль, кукуруза, помидоры, авокадо, кинза, лаймовый сок, оливковое масло, соль, перец","Чёрная фасоль, кукуруза, помидоры, авокадо",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A1%D0%B0%D0%BB%D0%B0%D1%82%20%D0%B8%D0%B7%20%D1%87%D1%91%D1%80%D0%BD%D0%BE%D0%B9%20%D1%84%D0%B0%D1%81%D0%BE%D0%BB%D0%B8%20%D0%B8%20%D0%BA%D1%83%D0%BA%D1%83%D1%80%D1%83%D0%B7%D1%8B.jpg,260,250 г,Мексиканская кухня
